year,隊伍,姓名,生日,身高,體重,No.,位置,出賽場次,平均得分,平均籃板,平均助攻,平均火鍋,平均抄截,平均失誤,得分,三分命中,三分出手,三分命中率,兩分命中,兩分出手,兩分命中率,罰球進球,罰球出手,罰球命中率,進攻籃板,防守籃板,籃板,助攻,抄截,火鍋,失誤
2014-15,金酒,簡偉儒,01/20/1992,185,82,2,PG/SG,27,6.4,2.3,1.22,0.07,0.9,1.22,173,31,100,31,26,70,37.1,28,42,66.7,21,41,62,33,25,2,33
2014-15,金酒,謝沅承,01/13/1990,180,70,9,PG/SG,2,1.5,0.0,0.5,0,0.0,1.00,3,1,1,100,0,1,0,0,0,0,0,0,0,1,0,0,2
2014-15,金酒,Bryan Keith,12/31/1986,206,105,0,C,30,28.5,14.6,2.5,1.23,2.4,4.90,856,4,20,20,326,702,46.4,192,304,63.2,136,303,439,75,73,37,147
2014-15,新秀,蔡勝耀,10/19/1991,185,78,1,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,洪康喬,4/22/1992,191,90,2,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,廖家震,11/18/1991,170,73,3,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,陳建嘉,9/29/1990,178,70,4,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,王子綱,1993//01/27,183,73,5,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,柯旻豪,12/27/1992,180,72,6,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,邱金龍,1/6/1992,187,89,7,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,陳尚龍,9/14/1991,192,80,8,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,郭昭男,11/6/1992,193,88,9,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,王泰傑,11/17/1992,184,83,10,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,于煥亞,11/30/1993,183,78,11,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,林任鴻,12/18/1993,195,88,12,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,鄭騏寬,1/28/1994,188,88,13,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,向鵬安,11/11/1990,191,82,14,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,廖健凱,9/20/1990,178,70,15,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,王聖浩,12/16/1990,190,80,16,F,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,簡肇熠,7/12/1993,180,82,17,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,余煜祥,10/8/1992,184,82,18,G,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,新秀,鄭至唐,9/11/1990,194,90,19,F,,,,,,,,,,,,,,,,,,,,,,,,
